,SessionKey,timestamp,DriverNo,GapToLeader,IntervalToPositionAhead_Value,IntervalToPositionAhead_Catching,Line,Position,ShowPosition,RacingNumber,Retired,InPit,PitOut,Stopped,Status,BestLapTime_Value,LastLapTime_Value,LastLapTime_Status,LastLapTime_OverallFastest,LastLapTime_PersonalFastest,NumberOfLaps,BestLapTime_Lap,NumberOfPitStops
3439,9574,00:57:32.511,11,+1.439,+0.807,,,,,,,,,,,,,,,,,,
3483,9574,00:57:35.490,11,,,,,,,,,,,,,,,,,,,,
3484,9574,00:57:35.498,11,+1.348,+0.784,,,,,,,,,,,,,,,,,,
3540,9574,00:57:39.548,11,+1.085,+0.816,,,,,,,,,,,,,,,,,,
3543,9574,00:57:39.818,11,,,,,,,,,,,,,,,,,,,,
3544,9574,00:57:39.952,11,,,,,,,,,,,,,,,,,,,,
3548,9574,00:57:40.336,11,,,,,,,,,,,,,,,,,,,,
3588,9574,00:57:43.118,11,,,,,,,,,,,,,,,,,,,,
3589,9574,00:57:43.159,11,+1.146,+0.812,,,,,,,,,,,,,,,,,,
3642,9574,00:57:47.583,11,+1.104,+0.665,,,,,,,,,,,,,,,,,,
3644,9574,00:57:47.624,11,,,,,,,,,,,,,,,,,,,,
3686,9574,00:57:50.774,11,,,,,,,,,,,,,,,,,,,,
3689,9574,00:57:51.022,11,+1.124,+0.722,,,,,,,,,,,,,,,,,,
3690,9574,00:57:51.050,11,,,,,,,,,,,,,,,,,,,,
3727,9574,00:57:54.945,11,,,,,,,,,,,,,,,,,,,,
3728,9574,00:57:54.960,11,+1.138,+0.698,,,,,,,,,,,,,,,,,,
3770,9574,00:57:59.135,11,,,,,,,,,,,,,,,,,,,,
3771,9574,00:57:59.198,11,+1.139,+0.599,,,,,,,,,,,,,,,,,,
3802,9574,00:58:03.270,11,+1.277,+0.603,,,,,,,,,,,,,,,,,,
3803,9574,00:58:03.289,11,,,,,,,,,,,,,,,,,,,,
3836,9574,00:58:07.608,11,+1.278,+0.639,,,,,,,,,,,,,,,,,,
3872,9574,00:58:11.495,11,+1.275,+0.643,,,,,,,,,,,,,,,,,,
3873,9574,00:58:11.531,11,,,,,,,,,,,,,,,,,,,,
3902,9574,00:58:15.305,11,+1.263,+0.645,,,,,,,,,,,,,,,,,,
3903,9574,00:58:15.325,11,,,,,,,,,,,,,,,,,,,,
3944,9574,00:58:19.909,11,,,,,,,,,,,,,,,,,,,,
3945,9574,00:58:19.938,11,+1.377,+0.717,,,,,,,,,,,,,,,,,,
3981,9574,00:58:24.378,11,+1.476,+0.757,,,,,,,,,,,,,,,,,,
4014,9574,00:58:28.570,11,+1.591,+0.819,,,,,,,,,,,,,,,,,,
4018,9574,00:58:29.085,11,,,,,,,,,,,,,,,,,,,,
4020,9574,00:58:29.199,11,,,,,,,,,,,,,,,,,,,,
4053,9574,00:58:32.930,11,,,,,,,,,,,,,,,,,,,,
4071,9574,00:58:34.329,11,,,,,,,,,,,,,,,,,,,,
4072,9574,00:58:34.356,11,+1.573,+0.785,,,,,,,,,,,,,,,,,,
4099,9574,00:58:36.751,11,,,,,,,,,,,,,,,,,,,,
4101,9574,00:58:36.806,11,+1.554,+0.777,,,,,,,,,,,,,,,,,,
4140,9574,00:58:39.904,11,+1.514,+0.767,,,,,,,,,,,,,,,,,,
4141,9574,00:58:39.948,11,,,,,,,,,,,,,,,,,,,,
4184,9574,00:58:43.722,11,,,,,,,,,,,,,,,,,,,,
4185,9574,00:58:43.743,11,+1.444,+0.738,,,,,,,,,,,,,,,,,,
4229,9574,00:58:47.712,11,+1.394,+0.761,,,,,,,,,,,,,,,,,,
4230,9574,00:58:47.769,11,,,,,,,,,,,,,,,,,,,,
4275,9574,00:58:53.731,11,,,,,,,,,,,,,,,,,,,,
4277,9574,00:58:53.752,11,+1.519,+0.816,,,,,,,,,,,,,,,,,,
4318,9574,00:58:58.663,11,+1.527,+1.130,,,,,,,,,,,,,,,,,,
4320,9574,00:58:58.789,11,,,,,,,,,,,,,,,,,,,,
4321,9574,00:58:58.806,11,,,,,,,,,,,,,1:50.240,1:50.240,,,True,2.0,2.0,
4325,9574,00:58:59.549,11,,,,,,,,,,,,,,,,,,,,
