,SessionKey,timestamp,DriverNo,GapToLeader,IntervalToPositionAhead_Value,IntervalToPositionAhead_Catching,Line,Position,ShowPosition,RacingNumber,Retired,InPit,PitOut,Stopped,Status,BestLapTime_Value,LastLapTime_Value,LastLapTime_Status,LastLapTime_OverallFastest,LastLapTime_PersonalFastest,NumberOfLaps,BestLapTime_Lap,NumberOfPitStops
2617,9574,00:56:07.580,1,,,,,,,,,,,,,,,,,,,,
2618,9574,00:56:07.599,1,+3.655,+0.310,,,,,,,,,,,,,,,,,,
2653,9574,00:56:12.120,1,+3.946,+0.200,,,,,,,,,,,,,,,,,,
2654,9574,00:56:12.149,1,,,,,,,,,,,,,,,,,,,,
2689,9574,00:56:16.411,1,+4.324,+0.252,,,,,,,,,,,,,,,,,,
2691,9574,00:56:16.446,1,,,,,,,,,,,,,,,,,,,,
2726,9574,00:56:20.730,1,,,,,,,,,,,,,,,,,,,,
2796,9574,00:56:28.584,1,+4.504,+0.261,,,,,,,,,,,,,,,,,,
2833,9574,00:56:33.434,1,,,,,,,,,,,,,,,,,,,,
2834,9574,00:56:33.501,1,+4.869,+0.249,,,,,,,,,,,,,,,,,,
2872,9574,00:56:38.008,1,,,,,,,,,,,,,,,,,,,,
2873,9574,00:56:38.081,1,+5.170,+0.262,,,,,,,,,,,,,,,,,,
2913,9574,00:56:42.415,1,+5.537,+0.328,,,,,,,,,,,,,,,,,,
2925,9574,00:56:42.940,1,,,,,,,,,,,,,,,,,,,,
2926,9574,00:56:43.072,1,,,,,,,,,,,,,,,,,,,,
2979,9574,00:56:47.751,1,,,,,,,,,,,,,,,,,,,,
2993,9574,00:56:48.134,1,,,,,,,,,,,,,,,,,,,,
2994,9574,00:56:48.212,1,+5.493,+0.269,,,,,,,,,,,,,,,,,,
3023,9574,00:56:50.592,1,,,,,,,,,,,,,,,,,,,,
3025,9574,00:56:50.629,1,+5.439,+0.263,,,,,,,,,,,,,,,,,,
3054,9574,00:56:53.660,1,+5.338,+0.253,,,,,,,,,,,,,,,,,,
3061,9574,00:56:54.067,1,,,,,,,,,,,,,,,,,,,,
3098,9574,00:56:57.436,1,+5.158,+0.207,,,,,,,,,,,,,,,,,,
3100,9574,00:56:57.474,1,,,,,,,,,,,,,,,,,,,,
3108,9574,00:56:57.879,1,,,,,,,,,,,,,,,,,,,,
3139,9574,00:57:01.188,1,,,,,,,,,,,,,,,,,,,,
3140,9574,00:57:01.206,1,+4.898,+0.173,,,,,,,,,,,,,,,,,,
3145,9574,00:57:01.623,1,,,,,,,,,,,,,,,,,,,,
3184,9574,00:57:07.126,1,,,,9.0,9,,,,,,,,,,,,,,,
3185,9574,00:57:07.202,1,+5.092,+0.642,,,,,,,,,,,,,,,,,,
3186,9574,00:57:07.268,1,,,,,,,,,,,,,,,,,,,,
3238,9574,00:57:12.165,1,+5.271,+0.606,,,,,,,,,,,,,,,,,,
3241,9574,00:57:12.248,1,,,,,,,,,,,,,,,,,,1.0,,
3242,9574,00:57:12.264,1,,,,,,,,,,,,,,,,,,,,
3246,9574,00:57:12.387,1,,,,,,,,,,,,,,,,,,,,
3290,9574,00:57:16.624,1,+5.266,+0.477,,,,,,,,,,,,,,,,,,
3292,9574,00:57:16.672,1,,,,,,,,,,,,,,,,,,,,
3313,9574,00:57:19.018,1,,,,,,,,,,,,,,,,,,,,
3341,9574,00:57:22.764,1,,,,,,,,,,,,,,,,,,,,
3342,9574,00:57:22.780,1,+5.221,+0.352,,,,,,,,,,,,,,,,,,
3373,9574,00:57:27.023,1,,,,,,,,,,,,,,,,,,,,
3374,9574,00:57:27.039,1,+5.178,+0.293,,,,,,,,,,,,,,,,,,
3410,9574,00:57:30.346,1,,,,,,,,,,,,,,,,,,,,
3441,9574,00:57:32.578,1,,,,,,,,,,,,,,,,,,,,
